"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
9.400,1.704,-0.32,-0.1
9.450,1.690,-0.32,0.0
9.500,1.671,-0.32,0.0
9.550,1.657,-0.32,0.0
9.600,1.640,-0.31,0.1
9.650,1.625,-0.32,0.1
9.700,1.609,-0.31,0.1
9.750,1.594,-0.31,0.0
9.800,1.579,-0.31,0.0
9.850,1.563,-0.31,0.0
9.900,1.548,-0.31,2.2E-4
9.950,1.533,-0.31,0.0
10.000,1.518,-0.30,0.0
10.050,1.502,-0.30,0.0
10.100,1.487,-0.30,0.0
10.150,1.472,-0.30,0.0
10.200,1.457,-0.30,-8.0E-4
10.250,1.442,-0.30,0.0
10.300,1.427,-0.30,0.0
10.350,1.412,-0.30,0.0
10.400,1.397,-0.30,6.4E-4
10.450,1.382,-0.30,0.0
10.500,1.367,-0.30,0.0
10.550,1.352,-0.30,0.0
10.600,1.337,-0.30,0.0
10.650,1.322,-0.30,0.0
10.700,1.307,-0.30,0.0
10.750,1.292,-0.30,0.0
10.800,1.277,-0.30,0.0
10.850,1.262,-0.30,0.0
10.900,1.247,-0.30,0.0
10.950,1.232,-0.30,0.0
11.000,1.217,-0.30,0.0
11.050,1.202,-0.30,0.0
11.100,1.187,-0.30,0.0
11.150,1.173,-0.30,0.0
11.200,1.158,-0.30,0.0
11.250,1.143,-0.30,0.0
11.300,1.128,-0.31,0.0
11.350,1.112,-0.30,0.1
11.400,1.097,-0.30,0.1
11.450,1.082,-0.29,0.0
11.500,1.068,-0.29,0.0
11.550,1.054,-0.30,0.0
11.600,1.038,-0.30,0.0
11.650,1.023,-0.30,0.0
11.700,1.008,-0.30,0.0
11.750,0.994,-0.29,0.0
11.800,0.979,-0.29,0.0
11.850,0.964,-0.29,3.2E-4
11.900,0.949,-0.29,0.0
11.950,0.935,-0.29,0.0
12.000,0.920,-0.30,0.0
12.050,0.905,-0.30,0.0
12.100,0.890,-0.30,0.0
12.150,0.876,-0.30,3.3E-15
12.200,0.861,-0.30,3.3E-15
12.250,0.846,-0.30,1.3E-14
12.300,0.831,-0.30,8.6E-5
12.350,0.816,-0.30,0.0
12.400,0.802,-0.30,0.0
12.450,0.787,-0.30,0.0
12.500,0.772,-0.30,0.0
12.550,0.757,-0.30,0.0
12.600,0.742,-0.30,0.0
12.650,0.727,-0.30,2.5E-4
12.700,0.712,-0.30,0.0
12.750,0.697,-0.30,0.0
12.800,0.682,-0.30,0.0
12.850,0.668,-0.30,0.0
12.900,0.653,-0.30,2.1E-4
12.950,0.638,-0.30,0.0
13.000,0.623,-0.30,0.0
13.050,0.608,-0.30,0.0
13.100,0.593,-0.30,0.0
13.150,0.578,-0.30,0.0
13.200,0.563,-0.30,0.0
13.250,0.548,-0.30,0.0
13.300,0.533,-0.30,0.0
13.350,0.518,-0.30,0.0
13.400,0.503,-0.30,0.0
13.450,0.488,-0.30,0.0
13.500,0.473,-0.30,0.0
13.550,0.458,-0.30,0.0
13.600,0.443,-0.30,0.0
13.650,0.429,-0.29,0.0
13.700,0.414,-0.29,0.1
13.750,0.400,-0.29,0.0
13.800,0.385,-0.29,0.0
13.850,0.371,-0.28,0.0
13.900,0.357,-0.28,0.1
13.950,0.343,-0.28,0.1
14.000,0.329,-0.28,0.0
14.050,0.315,-0.27,0.0
14.100,0.302,-0.27,0.1
14.150,0.288,-0.27,0.1
14.200,0.275,-0.26,0.1
14.250,0.261,-0.26,0.2
14.300,0.249,-0.25,0.5
14.350,0.237,-0.23,1.2
14.400,0.226,-0.14,2.1
14.450,0.216,0.01,2.4
14.500,0.227,0.15,1.9
14.550,0.237,0.21,1.0
14.600,0.248,0.22,0.3
14.650,0.260,0.23,0.1
14.700,0.271,0.23,0.0
14.750,0.282,0.23,0.0
14.800,0.294,0.23,0.0
14.850,0.305,0.23,0.0
14.900,0.316,0.23,0.0
14.950,0.328,0.23,0.0
15.000,0.339,0.23,0.0
15.050,0.350,0.23,0.0
15.100,0.362,0.23,0.0
15.150,0.373,0.23,0.0
15.200,0.385,0.23,0.0
15.250,0.396,0.23,0.0
15.300,0.407,0.23,8.8E-5
15.350,0.419,0.23,0.0
15.400,0.430,0.23,0.0
15.450,0.441,0.23,0.0
15.500,0.453,0.23,0.0
15.550,0.464,0.23,0.0
15.600,0.475,0.23,0.0
15.650,0.487,0.23,2.2E-4
15.700,0.498,0.23,0.0
15.750,0.510,0.23,0.0
15.800,0.521,0.23,0.0
15.850,0.532,0.23,0.0
15.900,0.543,0.23,-8.1E-8
